make,transmission_type,seats_cop,seats_family,seats_large,fuel_cng,fuel_diesel,fuel_electric,fuel_lpg,fuel_patrol,seller_dealer,seller_self,year,km_driven,engine,max_power,model,selling_price
ford,0,0,1,0,0,1,0,0,0,1,1,2019,156745,1601,396,aspire,382352.59432819136
maruti,1,0,1,0,0,1,0,0,0,0,1,2015,7554,1279,391,baleno,371022.6029933563
suzuki,1,0,0,1,0,1,0,0,0,1,0,2002,197761,4547,482,wagonr,366377.2271523691
toyota,1,0,0,1,0,1,0,0,0,0,0,2001,145172,2306,95,corolla,209530.4524737892
honda,1,0,0,1,0,0,0,0,1,0,0,2019,113815,2477,285,wr-v,395208.66894557886
toyota,1,0,0,1,0,0,0,0,1,1,1,2008,127046,4784,259,innova,205098.7368784345
hyundai,1,0,0,1,0,0,0,1,0,1,1,2001,69185,4157,95,venue,207743.4406035221
maruti,1,0,0,1,0,0,0,0,1,0,0,2012,138458,2259,250,ciaz,215205.57770112262
suzuki,1,0,0,0,0,0,0,1,0,0,0,2020,45468,3661,313,swift,305265.6485402412
ford,0,0,0,1,0,0,0,0,1,1,1,2021,86178,3247,443,ecosport,396133.9446055496
maruti,0,0,0,0,0,0,0,0,1,1,0,2000,28880,4713,67,baleno,162779.8831770464
suzuki,1,0,0,1,0,0,1,0,0,1,1,2017,40515,2531,123,swift,116008.80735282863
maruti,0,0,0,1,0,0,0,0,1,0,1,2017,114215,3156,371,ignis,317070.5631107187
honda,0,0,1,0,0,1,0,0,0,1,1,2003,178688,3350,130,civic,182109.49741246525
maruti,0,0,1,0,0,0,0,0,1,1,0,2003,70037,3780,281,ciaz,225665.14434266568
hyundai,1,0,0,0,0,0,0,0,1,0,0,2015,18899,3552,325,venue,266625.39385268226
hyundai,1,0,1,0,0,0,0,0,1,0,0,2019,50632,3219,180,i20,263714.8955722358
honda,1,0,0,1,0,0,0,1,0,0,0,2021,110039,3083,162,jazz,246995.02867285308
maruti,1,0,0,1,0,0,0,0,1,1,1,2002,96085,1501,402,ignis,327800.07185865584
hyundai,0,0,0,0,0,0,0,0,1,1,0,2016,113143,1077,72,creta,196344.64294388087
ford,1,0,0,1,0,0,0,1,0,0,0,2019,60463,1568,104,figo,177722.09024344882
toyota,0,0,1,0,0,0,0,0,1,1,0,2013,198654,4831,138,camry,172863.78649787974
honda,1,0,0,1,0,1,0,0,0,0,1,2010,42219,3591,464,civic,295543.2320004241
toyota,1,0,0,1,0,0,0,0,1,1,1,2016,63579,4079,208,innova,139617.1638703909
hyundai,1,0,0,1,0,0,0,0,1,1,0,2011,41627,4935,142,venue,183246.76874909538
hyundai,1,0,0,1,0,0,0,0,1,1,1,2008,133217,1129,252,verna,266519.70481728617
honda,1,0,1,0,0,0,0,0,1,0,0,2009,116994,2395,420,city,371792.5716968043
toyota,1,0,0,1,0,0,0,0,1,0,1,2006,18888,4422,266,corolla,347906.28448636574
ford,1,0,0,0,0,0,0,0,1,1,0,2007,109058,4579,230,ecosport,264148.7002491774
maruti,0,0,0,1,0,0,0,1,0,0,1,2016,135492,1172,131,baleno,108424.29440536378
maruti,1,0,1,0,0,0,0,0,1,1,0,2015,45345,3619,53,ertiga,174385.00253326655
toyota,0,0,0,0,0,1,0,0,0,1,1,2013,69723,4896,464,corolla,373989.5821562663
hyundai,0,0,0,1,0,0,0,1,0,1,1,2020,187511,4205,383,creta,360607.1642586147
ford,1,0,1,0,0,0,0,1,0,0,0,2007,153135,3234,142,endeavour,176381.2317288756
ford,1,0,0,1,0,0,0,0,1,0,1,2018,122445,3923,338,freestyle,291846.47129696916
ford,1,0,1,0,0,0,0,0,1,1,0,2014,174456,3880,403,aspire,203490.50063387188
maruti,0,0,0,1,0,0,0,0,1,0,1,2019,20806,2642,246,ertiga,243231.78486335237
suzuki,1,0,0,1,0,0,0,1,0,1,0,2000,86292,4281,404,swift,444800.6618420463
toyota,0,0,0,1,0,0,0,1,0,0,1,2021,12590,2583,175,innova,212537.14824746802
maruti,1,0,0,1,0,0,0,1,0,1,1,2000,1768,4957,191,ignis,167433.8298418409
hyundai,0,0,1,0,0,0,0,0,1,0,0,2017,168641,4227,167,creta,254276.8876250935
suzuki,1,0,1,0,0,0,1,0,0,1,0,2005,141835,1208,205,wagonr,329050.9907537367
ford,1,0,0,1,0,0,0,0,1,1,0,2016,24710,3399,211,figo,247055.6131717583
suzuki,1,0,1,0,0,0,1,0,0,1,1,2007,154349,3511,317,wagonr,417219.3523209489
hyundai,0,0,0,1,0,1,0,0,0,0,0,2021,65673,1917,392,i10,355550.24721666676
maruti,0,0,1,0,0,0,0,0,1,1,0,2014,73961,2290,94,baleno,224013.20445108152
hyundai,1,0,0,1,0,0,0,1,0,1,0,2014,41754,1208,461,venue,398126.962840123
honda,0,0,0,0,0,0,0,0,1,1,1,2020,10291,1105,410,jazz,276142.9236184974
suzuki,1,1,0,0,0,1,0,0,0,0,1,2013,178497,3901,377,ciaz,295900.1779293062
hyundai,1,0,0,1,0,0,0,0,1,0,0,2006,11714,1858,302,verna,365874.09410556476
toyota,0,1,0,0,0,0,0,0,1,0,0,2001,150056,4754,292,corolla,250037.81610712392
toyota,0,0,1,0,0,0,0,0,1,1,0,2017,196311,2401,254,camry,313900.03938415
toyota,1,0,0,1,0,0,0,0,1,1,0,2011,142420,2206,116,corolla,126323.59364416593
hyundai,1,0,1,0,0,0,0,0,1,1,1,2016,113094,1614,456,creta,280636.1782366431
maruti,1,0,0,1,0,0,1,0,0,0,0,2014,112973,1250,90,baleno,166298.51725929687
maruti,1,0,0,0,0,0,0,0,1,1,1,2004,101471,1150,288,baleno,211066.44354238326
hyundai,0,0,0,0,0,0,0,1,0,0,0,2014,190964,4807,384,venue,355453.28224770026
suzuki,0,0,0,1,0,0,0,0,1,0,1,2011,77424,1905,434,swift,320622.9722731099
hyundai,1,0,0,1,0,0,0,0,1,1,1,2010,151429,1607,73,i20,249353.53084627958
toyota,0,0,1,0,0,0,0,1,0,1,0,2021,15614,1329,236,fortuner,268144.3405508747
maruti,1,0,0,1,0,0,1,0,0,0,0,2001,127540,1044,126,ignis,205834.4739500816
honda,0,1,0,0,0,0,0,0,1,0,1,2020,51308,1867,378,civic,207334.6594483953
ford,1,0,0,1,0,0,0,0,1,1,1,2013,159154,4017,424,figo,308237.7198940607
maruti,1,0,0,1,0,0,0,0,0,0,0,2002,131484,1744,291,baleno,231274.67990394897
ford,0,0,1,0,0,0,1,0,0,0,0,2012,129536,4006,68,endeavour,121571.67793301318
toyota,0,0,1,0,0,0,0,0,1,1,1,2002,103118,1056,232,corolla,245725.6161469687
toyota,1,0,0,1,0,0,0,0,1,1,0,2014,87071,1447,448,camry,318112.49139930605
toyota,0,0,0,1,0,0,0,0,1,0,1,2006,124282,3734,379,yaris,344324.9683179098
suzuki,1,0,0,1,0,0,0,1,0,1,0,2006,154465,4070,219,wagonr,222419.5975698935
ford,0,0,1,0,0,0,0,0,1,1,0,2016,52892,3035,68,figo,163214.44516043947
honda,1,0,0,1,0,0,0,0,1,1,0,2014,180617,4399,327,wr-v,332212.03109088406
maruti,1,0,0,1,0,0,0,1,0,1,0,2021,119045,4322,437,baleno,341694.1458139882
suzuki,0,1,0,0,0,0,0,0,1,1,1,2002,162907,1497,390,swift,379555.38750824163
suzuki,0,0,0,0,0,0,0,1,0,1,1,2007,37278,3311,419,alto,366789.992915175
suzuki,1,0,0,1,0,0,1,0,0,1,0,2009,107399,2456,68,vitara brezza,251995.63239112304
honda,0,0,0,1,0,0,0,0,1,1,0,2010,125460,4518,466,jazz,288138.67991315434
suzuki,1,0,1,0,0,0,0,0,1,1,0,2021,171329,1812,264,vitara brezza,208738.8717501665
suzuki,0,1,0,0,0,0,0,0,1,1,0,2017,8961,2883,245,alto,291177.28163236805
honda,0,0,0,1,0,0,0,1,0,0,0,2011,130465,1505,357,wr-v,227852.2766520264
maruti,1,0,0,1,0,0,0,1,0,0,0,2010,6214,3160,52,ignis,95289.47679335036
hyundai,1,0,0,0,1,0,0,0,0,0,0,2014,35398,1951,58,verna,180854.12692357646
honda,1,0,0,1,0,0,0,0,1,1,1,2006,11292,4892,327,city,363413.3159957917
hyundai,1,0,1,0,0,0,0,0,1,0,0,2007,33921,3537,155,creta,227829.17149417108
hyundai,0,0,0,0,0,0,0,1,0,0,0,2021,168583,3725,378,i20,356217.65127158177
honda,0,0,1,0,0,0,0,1,0,0,0,2013,3731,2711,360,amaze,319698.86814918404
suzuki,0,0,0,1,0,0,0,0,1,1,0,2004,2582,2661,391,swift,346148.636717458
toyota,1,0,0,0,0,0,0,0,1,0,1,2008,10279,3707,291,corolla,293766.5546529577
honda,0,0,0,1,0,0,0,1,0,0,1,2010,117014,1488,450,jazz,264552.0826274315
honda,0,0,0,1,0,0,0,0,1,0,0,2002,78399,3140,169,jazz,330801.99912658404
maruti,0,0,1,0,0,0,0,1,0,0,0,2007,28538,3938,203,s-cross,292342.8127263032
maruti,0,0,0,1,0,0,0,0,0,1,1,2015,128080,4473,269,ignis,213156.4926423738
toyota,0,0,0,1,0,0,0,0,1,1,0,2010,188730,3931,103,fortuner,154588.80718428205
honda,1,1,0,0,0,0,0,0,1,0,0,2002,151671,1320,340,jazz,348633.4118228647
suzuki,1,0,1,0,0,1,0,0,0,0,1,2009,85086,2156,356,wagonr,342666.62718099094
toyota,0,0,1,0,1,0,0,0,0,1,1,2016,48439,2414,214,fortuner,181619.13250739963
hyundai,0,0,1,0,0,0,0,1,0,1,1,2013,112884,1293,306,i20,298051.8626747764
hyundai,1,0,0,1,0,0,0,1,0,0,1,2007,92227,2100,128,creta,191141.78023169615
honda,0,1,0,0,0,0,0,0,1,0,1,2007,174477,2856,109,jazz,188163.8360513407
ford,1,0,0,1,0,0,1,0,0,0,0,2013,42581,3179,471,aspire,446966.65659337386
honda,1,0,1,0,0,0,0,1,0,0,0,2008,75262,1466,274,city,358257.1022552443
suzuki,1,0,1,0,0,0,0,0,1,0,1,2013,32853,4108,396,swift,287251.1414349226
suzuki,1,0,0,1,0,0,0,1,0,0,0,2011,38539,2767,463,swift,353857.5104576009
ford,0,0,1,0,0,0,0,0,0,0,1,2010,90097,4537,331,freestyle,217480.16719098203
suzuki,0,0,0,0,0,0,0,1,0,1,0,2018,5336,2878,394,wagonr,364737.41171959706
hyundai,1,0,0,1,0,0,0,1,0,1,0,2012,48152,3065,483,creta,434355.0403497778
honda,0,0,1,0,0,0,0,0,1,0,1,2005,137380,1730,110,amaze,209914.48155647964
ford,1,0,0,1,0,0,0,0,1,1,1,2006,64452,4710,169,figo,105798.67350025088
hyundai,0,0,0,1,0,0,0,0,1,0,0,2019,127702,2264,129,verna,102855.78713608891
suzuki,1,0,0,1,0,0,0,1,0,1,0,2012,16531,3571,453,wagonr,252111.2663788409
maruti,1,1,0,0,0,0,0,0,1,0,0,2007,130862,4064,154,s-cross,173022.05371638903
honda,1,0,0,1,0,0,0,1,0,0,0,2018,105993,4660,304,civic,242037.34978536388
honda,0,0,1,0,0,0,0,1,0,1,0,2010,159185,1818,301,amaze,369360.69557023526
maruti,0,0,0,0,0,0,0,0,1,1,0,2002,99055,2773,318,ciaz,339390.354509052
maruti,1,0,0,1,0,0,0,1,0,0,0,2002,100889,3121,335,s-cross,373938.63731051004
honda,1,0,0,0,0,0,0,0,0,0,1,2017,155094,2609,97,wr-v,144770.76453984354
ford,1,0,1,0,0,0,0,1,0,1,0,2018,44115,3048,191,figo,324684.3984886896
hyundai,0,1,0,0,0,0,0,1,0,0,1,2009,40790,1584,291,i10,167798.72894806677
honda,0,0,0,1,0,1,0,0,0,0,1,2010,177224,2726,128,city,236600.23244937565
honda,0,1,0,0,0,0,0,0,1,0,1,2011,119442,3633,101,jazz,209903.88207692705
maruti,1,1,0,0,0,0,0,0,1,0,0,2008,54632,2898,242,ciaz,155398.66496930236
hyundai,0,0,0,1,0,0,0,0,1,0,1,2008,148519,4904,87,venue,135352.35649312768
suzuki,0,0,1,0,0,0,0,0,1,0,1,2018,162263,3598,329,vitara brezza,294331.71669703873
maruti,0,0,0,1,0,0,0,1,0,0,1,2020,2625,3457,396,baleno,299926.37196517177
maruti,0,0,0,0,0,0,0,0,1,0,0,2000,110629,2308,261,ertiga,301936.6913900293
hyundai,1,0,0,1,0,0,0,0,1,1,1,2020,17969,1137,107,i20,124438.25348818059
toyota,0,0,0,1,0,0,0,0,1,1,1,2007,64546,4295,121,fortuner,171496.37832236316
suzuki,1,0,1,0,0,1,0,0,0,1,0,2005,22113,2346,119,wagonr,183345.50258293492
honda,0,0,1,0,0,0,0,1,0,0,1,2008,191011,1146,110,civic,222570.40076109892
suzuki,1,0,0,0,0,0,0,1,0,0,0,2003,174564,1389,417,vitara brezza,366758.3247028125
toyota,1,1,0,0,0,0,0,0,1,1,0,2021,91312,3166,294,innova,200394.5897365837
honda,0,0,1,0,0,0,0,0,1,0,1,2016,158178,3371,426,amaze,409749.6784012911
suzuki,0,0,0,1,0,0,0,0,1,0,1,2014,121554,4243,314,vitara brezza,301104.4685325903
maruti,1,1,0,0,0,0,0,0,1,1,1,2012,50362,2947,464,ertiga,369424.0282224237
maruti,0,0,0,1,0,0,0,0,1,0,1,2018,58587,2155,178,baleno,161646.6200236046
ford,1,0,0,0,0,0,0,1,0,0,1,2000,119254,1046,419,figo,283656.1173451312
suzuki,1,0,0,1,0,0,0,0,1,0,1,2002,44165,4743,478,swift,354527.2015368949
maruti,0,1,0,0,0,0,1,0,0,1,0,2005,50524,1341,122,ignis,115989.81940516412
maruti,1,0,0,1,0,0,0,0,1,1,1,2011,187806,3974,410,ignis,325259.8067565144
hyundai,0,0,1,0,0,0,0,1,0,0,1,2001,142191,2862,91,verna,209997.04575714568
suzuki,0,0,0,0,0,0,0,1,0,0,0,2015,51836,4323,341,ciaz,301050.83615155146
honda,1,0,0,1,0,0,0,0,1,0,1,2000,56737,3196,128,jazz,237776.61033568793
honda,0,0,0,1,0,0,0,1,0,0,0,2021,21212,4627,482,wr-v,270195.0771807671
suzuki,0,0,1,0,0,0,0,0,1,0,0,2002,146900,4952,398,ciaz,367608.5091384091
suzuki,1,0,0,1,0,0,0,0,1,0,1,2007,6372,1905,390,ciaz,288314.62494873686
maruti,0,0,0,1,0,1,0,0,0,1,0,2008,88686,2342,52,ignis,157696.28531227756
toyota,1,0,0,0,0,0,0,0,1,0,0,2005,48617,4830,300,corolla,223439.9622179226
toyota,0,0,1,0,0,0,0,0,1,0,0,2008,138660,3662,470,yaris,304773.43194791157
suzuki,0,0,0,1,0,1,0,0,0,0,1,2012,117336,3767,459,wagonr,410017.9273154678
maruti,0,0,0,0,0,0,0,1,0,1,0,2004,16751,3875,299,ciaz,314690.8425596632
suzuki,0,1,0,0,0,0,1,0,0,1,0,2015,1970,4420,211,alto,193426.06249397204
honda,1,0,0,0,0,0,0,0,1,1,1,2019,114705,4793,434,amaze,357057.37546637905
maruti,0,0,1,0,0,0,0,1,0,1,0,2020,151249,4299,77,ciaz,137952.29995279099
hyundai,1,0,0,0,0,0,0,0,1,0,0,2017,120490,2917,232,verna,278946.1425221824
honda,1,0,1,0,0,0,0,1,0,1,1,2006,70811,2246,227,jazz,270433.1360896587
suzuki,0,0,0,1,0,0,0,0,1,1,1,2021,26963,3763,127,wagonr,191894.3476380226
toyota,1,1,0,0,0,0,0,0,1,1,1,2017,18295,3326,421,corolla,301890.460082176
hyundai,0,0,1,0,0,1,0,0,0,0,0,2015,62905,4826,203,creta,266186.90453221614
ford,1,0,1,0,0,0,1,0,0,1,1,2013,46768,1003,241,freestyle,168886.01560919598
toyota,1,0,0,1,0,0,0,0,1,0,1,2008,185289,2890,396,camry,322493.3667631587
ford,0,0,0,1,0,0,1,0,0,1,1,2000,74444,4654,252,endeavour,175173.2147619814
ford,1,1,0,0,0,0,0,1,0,0,1,2009,151244,4771,365,freestyle,204258.8586710578
hyundai,0,1,0,0,0,0,0,1,0,1,1,2015,126106,3527,68,i10,141788.82341759355
maruti,1,0,0,1,0,0,0,1,0,0,0,2015,18682,3820,492,ignis,353717.52445155976
toyota,1,0,0,1,0,0,0,0,1,0,1,2013,58640,3232,460,yaris,356154.45688909036
hyundai,1,0,0,1,0,0,0,0,1,1,0,2009,121546,3415,376,verna,398571.72340273054
maruti,0,0,0,1,0,0,0,1,0,1,0,2009,178023,3867,370,ignis,262232.7803815809
ford,1,0,1,0,0,0,1,0,0,1,0,2019,82631,2532,155,freestyle,130337.87159763424
ford,1,0,0,1,0,0,0,0,1,1,1,2015,106975,1740,479,freestyle,352674.4457702832
maruti,0,0,0,1,0,0,0,0,1,0,1,2013,126905,2553,411,ignis,331075.2182698567
ford,0,0,0,0,0,0,0,0,1,0,1,2009,101639,1469,416,ecosport,299238.8845492488
suzuki,1,0,0,1,0,0,0,0,1,0,0,2019,2561,1013,231,swift,164642.52115636255
maruti,0,0,0,1,0,0,1,0,0,1,0,2003,196286,2790,343,s-cross,263743.3150452697
maruti,0,1,0,0,1,0,0,0,0,1,1,2007,80894,1830,490,baleno,377053.6575989513
hyundai,0,0,0,1,0,0,0,1,0,0,1,2001,33959,4462,177,venue,161351.4249397199
hyundai,1,0,0,1,0,0,1,0,0,1,0,2004,107809,2250,455,i20,392587.6621722552
maruti,1,0,1,0,0,1,0,0,0,1,1,2013,45688,4515,208,ignis,237389.74947139074
hyundai,1,0,0,1,0,0,0,1,0,1,1,2015,107669,4284,458,creta,283290.2441197819
toyota,0,0,0,0,0,0,0,0,1,1,0,2007,172243,1906,431,camry,324572.61151448934
maruti,0,0,0,1,0,0,0,1,0,1,1,2003,129443,1066,141,ignis,233199.77863604052
suzuki,1,1,0,0,0,0,0,0,1,0,0,2014,154802,3394,136,vitara brezza,124300.81619977007
toyota,0,0,0,1,0,0,0,0,0,0,0,2009,126208,4725,357,innova,474275.005219958
maruti,1,0,0,0,0,0,0,0,1,1,1,2016,96122,3766,108,ignis,214144.38930092452
suzuki,0,0,0,1,0,0,0,0,1,0,1,2006,28405,4890,201,swift,269022.7411547594
honda,1,0,0,1,0,0,0,0,1,1,0,2012,165918,2878,258,civic,160207.25069418794
ford,0,1,0,0,0,0,0,0,1,0,1,2004,85340,1314,492,freestyle,397204.7436635241
ford,0,0,1,0,0,0,0,0,1,1,1,2006,135346,2096,206,freestyle,137811.6673509435
suzuki,0,0,0,1,0,0,0,1,0,0,0,2012,144537,2158,92,vitara brezza,210315.02784195018
ford,0,0,1,0,0,0,0,0,1,1,1,2011,185162,3891,95,figo,189298.74546287023
ford,0,0,1,0,0,0,0,0,1,1,0,2000,139260,4067,231,endeavour,264863.0254676844
suzuki,0,1,0,0,0,0,0,0,1,1,1,2017,154532,3486,78,alto,201214.50408416608
suzuki,1,0,0,1,0,0,0,1,0,1,1,2014,30869,2244,145,vitara brezza,278433.28290390543
hyundai,1,0,0,1,0,1,0,0,0,0,0,2002,16258,1899,314,verna,295213.9114040212
toyota,1,0,0,1,0,0,0,0,1,1,1,2015,188077,3406,404,fortuner,300078.77481714997
suzuki,1,0,0,1,0,0,0,0,1,0,1,2000,194991,3179,53,wagonr,140126.59971383648
suzuki,0,0,1,0,0,0,0,0,1,0,0,2014,121062,2295,58,vitara brezza,234089.25315120956
toyota,1,0,1,0,0,0,0,1,0,0,0,2018,175375,2802,307,corolla,325881.502050299
maruti,1,0,0,1,1,0,0,0,0,1,0,2017,133529,2833,358,s-cross,205728.57023907395
ford,1,0,1,0,0,0,0,0,1,1,1,2013,147356,1673,275,endeavour,230769.63906674652
honda,0,0,1,0,0,0,0,1,0,1,0,2002,137374,1381,327,city,294046.0210947627
maruti,0,0,0,1,0,0,0,0,1,1,1,2000,107912,4320,337,ertiga,282017.2646347871
hyundai,0,0,0,1,0,0,0,0,1,1,0,2003,68779,2986,462,i10,394414.5159705778
hyundai,0,1,0,0,0,0,0,0,1,0,1,2019,49905,1162,233,creta,193888.95534649753
honda,0,0,1,0,0,0,0,1,0,0,0,2005,156455,4256,227,city,217001.33149907872
toyota,1,0,0,1,0,0,0,0,1,1,1,2006,25193,3324,148,fortuner,342825.6014719474
toyota,1,0,1,0,0,0,0,0,1,1,1,2014,95019,4069,65,corolla,226107.31175779426
maruti,1,0,0,0,0,0,0,0,1,0,0,2010,101526,2914,303,baleno,306545.7901927979
honda,1,0,0,1,0,0,0,1,0,1,1,2017,57180,4244,476,amaze,308846.0916683391
toyota,1,0,0,1,0,0,0,1,0,1,1,2015,35662,4212,89,fortuner,172838.9932599083
honda,0,0,0,1,0,0,0,1,0,0,1,2000,19392,3336,134,civic,182023.66000933637
hyundai,1,1,0,0,1,0,0,0,0,0,1,2003,120907,2443,141,i20,164948.52772379247
ford,0,1,0,0,0,0,0,1,0,0,0,2010,59307,4703,161,endeavour,175806.1909914278
toyota,1,0,0,1,0,0,0,1,0,1,1,2015,165741,2413,272,camry,229225.11222139973
ford,0,0,1,0,0,1,0,0,0,1,0,2020,157803,2479,189,freestyle,203602.653841812
ford,1,0,0,1,0,0,0,0,1,0,1,2000,65906,3548,440,freestyle,308173.2155712176
suzuki,0,0,0,0,0,1,0,0,0,1,0,2015,58630,4108,304,vitara brezza,194056.1854448631
hyundai,1,0,0,1,0,0,0,0,1,0,0,2008,21194,3433,213,i10,227137.67829454906
honda,1,1,0,0,1,0,0,0,0,0,0,2012,20358,4207,300,wr-v,237867.15756242812
maruti,1,1,0,0,0,0,0,0,1,1,1,2020,8936,4960,196,ciaz,212761.70564628753
hyundai,1,0,1,0,0,0,0,0,1,1,1,2006,169741,3478,65,creta,197461.163696663
honda,1,0,1,0,0,0,0,1,0,1,0,2012,11447,3835,189,jazz,237412.10371668564
toyota,1,0,0,1,0,0,0,0,1,0,0,2008,14740,1446,318,camry,213947.5825348755
suzuki,1,0,0,0,0,0,0,1,0,1,1,2010,55313,2060,59,swift,104435.48580498558
hyundai,0,0,0,1,0,0,0,0,1,0,1,2007,51245,4343,463,venue,274308.90187420364
honda,1,0,0,1,0,0,1,0,0,0,0,2000,37474,4448,288,amaze,175495.80372544623
hyundai,1,0,1,0,0,0,0,0,1,1,0,2015,188695,2312,307,i20,346455.91576466465
ford,1,0,1,0,0,0,0,1,0,1,0,2002,5601,2315,381,figo,274609.2772005752
ford,1,0,1,0,0,0,0,1,0,0,0,2008,125085,2457,245,aspire,194964.48168513743
suzuki,1,0,0,0,0,0,1,0,0,0,1,2014,24410,4842,146,swift,210001.34927562554
maruti,1,0,0,0,0,0,0,1,0,0,1,2015,88152,2363,190,ciaz,146305.87641618066
honda,1,0,0,1,0,0,0,1,0,1,0,2015,104096,3083,371,city,362004.30240147194
honda,0,0,0,1,0,0,0,0,1,1,1,2021,106142,3157,213,city,195476.060209792
ford,0,0,0,1,0,0,0,1,0,1,0,2001,78087,2225,334,figo,226906.10655625403
hyundai,1,0,0,1,0,0,0,0,1,1,1,2014,67120,2015,297,i20,314744.02127338893
hyundai,1,0,0,1,0,0,0,0,1,0,1,2003,77726,3105,334,creta,263819.93382014835
hyundai,1,1,0,0,0,0,0,0,1,0,0,2020,27236,4203,405,verna,386730.3060123368
suzuki,0,1,0,0,0,0,0,0,1,0,0,2008,153193,1414,303,alto,332127.3186214802
honda,1,0,0,1,0,0,0,0,1,0,1,2015,17852,1912,283,wr-v,307668.5131644626
maruti,1,1,0,0,0,0,0,0,1,0,1,2015,23042,1372,67,ertiga,274967.17553179467
suzuki,1,0,0,1,0,0,0,1,0,1,0,2010,160831,4259,432,swift,369655.90515270433
ford,1,0,0,1,0,0,0,0,1,0,0,2017,95430,4554,241,ecosport,218881.2885076651
toyota,0,0,0,0,0,0,0,1,0,0,1,2013,67115,2074,355,yaris,263075.87692230736
hyundai,0,0,0,1,0,1,0,0,0,0,1,2008,37616,4061,410,venue,332979.4970130007
honda,0,0,0,0,0,0,0,0,1,1,0,2000,42543,2029,321,city,403574.63698962633
honda,0,0,0,1,0,0,0,0,1,0,0,2017,162975,3064,240,wr-v,293807.0098747251
honda,1,1,0,0,0,0,0,0,1,1,0,2005,138933,2497,241,jazz,227915.95241885976
hyundai,0,0,0,1,0,0,0,1,0,0,0,2015,45063,4696,98,i10,204181.77574547433
